"";"GSM1784988";"GSM1784990";"GSM1784993";"GSM1784994";"GSM1784996";"GSM1785001";"GSM1785004";"GSM1785005";"GSM1785008";"GSM1785009";"GSM1785011";"GSM1785012";"GSM1785013";"GSM1785021";"GSM1785022";"GSM1785028";"GSM1785035";"GSM1785038";"GSM1785039";"GSM1785041";"GSM1785042";"GSM1785053";"GSM490136";"GSM490137"
"ENSG00000000003";4,94892624228201;4,78612551662821;4,50055548641001;4,77025547056599;4,92712044643918;4,52584671945963;4,79393162245377;4,93462948302015;4,76485041087349;5,06735121703965;4,86617000190411;4,82529977561241;4,68364171867269;4,67046149316532;4,76998350255479;4,61129828122845;4,74364694332237;4,72545033637027;4,86141748374612;4,50739711626436;4,77886856693558;5,05499001414315;8,85667291246241;8,24376042943487
"ENSG00000000419";7,5078560443038;7,27175329063428;7,01931760970304;7,44724183736721;7,43669056639862;7,10214358879263;7,28969278164891;7,37897640957272;7,51670982623375;7,30387931604952;7,62355079244664;7,2588644838698;7,02291404468774;7,08814133234311;7,49445544135857;7,46311019828317;7,21762239452523;7,1560676426817;7,37142525161022;7,78011703761419;7,32458835214853;7,18982254750296;9,66211376729123;9,59788519985357
"ENSG00000000457";5,02430336039475;4,99924386276643;4,87318512202023;5,33856420590067;5,09900655688373;5,03725200725257;5,02135772218401;5,0988456837467;4,87816923982665;5,09252192812539;4,98225316428873;4,91239837222339;4,91635517158388;4,96001628482447;4,95562824077431;5,07315618234604;5,1705654329932;5,01178394744259;5,07216788000443;4,85272540072602;5,0706823710249;4,97645246486617;7,56069436127864;7,30374288414666
"ENSG00000000938";5,55657819753019;5,59058377685394;5,70388538095995;5,60879110080535;5,52681356778796;5,81982888523431;5,62897081274135;5,63317861597925;5,65275589884839;5,56475413035799;5,56845864090745;5,61357118497193;5,79002973375902;5,65885671143949;5,61596071062044;5,71835567783459;5,71412779680784;5,70304576400437;5,60095277716904;5,60024841535748;5,64366949498042;5,63167740347688;6,73941987657848;6,95316393670619
"ENSG00000000971";2,67053366213334;2,94380845332643;2,82791459882853;2,94978199973039;2,98099860286211;2,70237803687601;2,77528616297705;2,68766802042013;3,04972489509158;2,76169668940128;2,92168044243558;2,69138130607488;2,65766428824969;3,73285652578711;2,84192946091033;2,7490554105197;2,80003078840547;3,12448964855726;3,05175722794546;2,70793457424548;2,8088184324246;2,789033141247;7,53969507956437;7,4718144822993
"ENSG00000001036";5,81811081921697;5,8811861701016;5,62349237123423;5,81513710965709;5,89242552418722;5,78419892628978;5,66242325680748;5,87299406600183;6,1441670472292;5,71642979483888;5,92195965010129;5,77214883161842;5,41409786066177;5,51430053204132;5,76979309212563;5,97568730671944;6,00136758632456;5,84709302022723;5,85690906286802;5,91107694836089;5,99195737412625;5,78192516714462;8,78538426496621;8,74775560992477
"ENSG00000001561";2,79905593588469;3,10303309779482;2,7406667002608;3,3270863103924;2,83196406111194;2,82369949170389;3,26666539800164;2,99722500156519;3,01834712416453;2,92790153891039;2,9861817047889;2,89129392846373;2,78453716736931;2,74304117621074;3,06206730847455;3,22566271475523;3,02027332942135;2,79582337031683;2,92969033784729;2,92893965142669;2,72860222479332;2,89147153989485;6,23536572259958;6,39587501699429
"ENSG00000001617";7,03719256662658;6,53409790538471;6,6896307858045;6,8130652690714;6,87152399528132;6,9250333686469;6,61726844569788;7,2609280639228;6,98067705058481;6,98930747629565;6,72450449862916;6,98762014372199;7,00814099860981;6,54665155801207;6,7857128409881;6,91862245882305;7,07200939686795;7,09186124294107;6,7791895539414;6,97567154262647;6,93250270760259;7,10790380157084;7,19073065453239;7,36002702535841
"ENSG00000001630";4,39251654526482;4,67932991395993;4,141734871358;4,72113792853839;4,53147349979117;4,10653116089243;4,22720090235059;4,40067987749834;4,63219982083178;4,61177733293307;4,58067265597089;4,50054093418508;3,91244273624843;4,48619775597466;4,47537453013172;4,4475683089553;4,46553527406489;4,42213150332952;4,47908295053029;4,58146556884927;4,35006652582473;4,23418802406883;6,85562722486512;6,68784837817517
"ENSG00000002330";6,66007710793785;6,6313346184348;6,53384323997976;6,61825984537502;6,60413421055704;6,83856929405572;6,67494177630954;6,76030926222679;6,71894911480979;6,71838391546783;6,65261059519125;6,69444081821067;6,72749153269271;6,69625741787898;6,74081362435046;6,83522161555114;7,02852923305419;6,67977386328812;6,66393180163619;6,9036485260322;6,71574247976553;6,57621643680679;7,43365244137601;7,32938653010652
