"";"X";"SampleFile";"Description";"MatName";"batch";"color";"color2";"Group"
"1";2;"GSM4636037";"Genomic DNA from placenta sample GDM-003";"Normal_R003";4;"#D55E00";"#0072B2";"Normal"
"2";3;"GSM4636038";"Genomic DNA from placenta sample GDM-004";"Normal_R004";4;"#D55E00";"#0072B2";"Normal"
"3";4;"GSM4636039";"Genomic DNA from placenta sample GDM-009";"Normal_R009";4;"#D55E00";"#0072B2";"Normal"
"4";5;"GSM4636040";"Genomic DNA from placenta sample GDM-011";"Normal_R011";4;"#D55E00";"#0072B2";"Normal"
"5";6;"GSM4636041";"Genomic DNA from placenta sample GDM-012";"Normal_R012";3;"#D55E00";"#0072B2";"Normal"
"6";8;"GSM4636043";"Genomic DNA from placenta sample GDM-016";"GDM_R016";3;"#0072B2";"#0072B2";"GDM"
"7";9;"GSM4636044";"Genomic DNA from placenta sample GDM-017";"GDM_R017";3;"#0072B2";"#0072B2";"GDM"
"8";12;"GSM4636047";"Genomic DNA from placenta sample GDM-021";"GDM_R021";4;"#0072B2";"#0072B2";"GDM"
"9";13;"GSM4636048";"Genomic DNA from placenta sample GDM-022";"GDM_R022";3;"#0072B2";"#0072B2";"GDM"
"10";17;"GSM4636052";"Genomic DNA from placenta sample GDM-026";"GDM_R026";4;"#0072B2";"#0072B2";"GDM"
"11";23;"GSM4636058";"Genomic DNA from placenta sample GDM-034";"Normal_R034";3;"#D55E00";"#0072B2";"Normal"
"12";27;"GSM4636062";"Genomic DNA from placenta sample GDM-040";"Normal_R040";4;"#D55E00";"#0072B2";"Normal"
"13";33;"GSM4636068";"Genomic DNA from placenta sample GDM-046";"GDM_R046";3;"#0072B2";"#0072B2";"GDM"
"14";34;"GSM4636069";"Genomic DNA from placenta sample GDM-047";"GDM_R047";4;"#0072B2";"#0072B2";"GDM"
"15";36;"GSM4636071";"Genomic DNA from placenta sample GDM-049";"GDM_R049";3;"#0072B2";"#0072B2";"GDM"
"16";210;"GSM1755028";"Placenta_GDM_No_Sample2";"Normal_R2";2;"#D55E00";"#D55E00";"Normal"
"17";310;"GSM1755029";"Placenta_GDM_Yes_Sample3";"GDM_R3";2;"#0072B2";"#D55E00";"GDM"
"18";410;"GSM1755030";"Placenta_GDM_No_Sample4";"Normal_R4";2;"#D55E00";"#D55E00";"Normal"
"19";59;"GSM1755031";"Placenta_GDM_No_Sample5";"Normal_R5";2;"#D55E00";"#D55E00";"Normal"
"20";66;"GSM1755032";"Placenta_GDM_Yes_Sample6";"GDM_R6";2;"#0072B2";"#D55E00";"GDM"
"21";91;"GSM1755035";"Placenta_GDM_Yes_Sample9";"GDM_R9";1;"#0072B2";"#D55E00";"GDM"
"22";211;"GSM1755047";"Placenta_GDM_Yes_Sample21";"GDM_R21";2;"#0072B2";"#D55E00";"GDM"
"23";231;"GSM1755049";"Placenta_GDM_No_Sample23";"Normal_R23";2;"#D55E00";"#D55E00";"Normal"
"24";241;"GSM1755050";"Placenta_GDM_Yes_Sample24";"GDM_R24";2;"#0072B2";"#D55E00";"GDM"
"25";251;"GSM1755051";"Placenta_GDM_Yes_Sample25";"GDM_R25";1;"#0072B2";"#D55E00";"GDM"
"26";281;"GSM1755054";"Placenta_GDM_Yes_Sample28";"GDM_R28";2;"#0072B2";"#D55E00";"GDM"
"27";291;"GSM1755055";"Placenta_GDM_Yes_Sample29";"GDM_R29";1;"#0072B2";"#D55E00";"GDM"
"28";301;"GSM1755056";"Placenta_GDM_No_Sample30";"Normal_R30";2;"#D55E00";"#D55E00";"Normal"
"29";311;"GSM1755057";"Placenta_GDM_No_Sample31";"Normal_R31";2;"#D55E00";"#D55E00";"Normal"
"30";321;"GSM1755058";"Placenta_GDM_No_Sample32";"Normal_R32";2;"#D55E00";"#D55E00";"Normal"
"31";331;"GSM1755059";"Placenta_GDM_Yes_Sample33";"GDM_R33";2;"#0072B2";"#D55E00";"GDM"
"32";341;"GSM1755060";"Placenta_GDM_No_Sample34";"Normal_R34";2;"#D55E00";"#D55E00";"Normal"
"33";351;"GSM1755061";"Placenta_GDM_Yes_Sample35";"GDM_R35";2;"#0072B2";"#D55E00";"GDM"
"34";361;"GSM1755062";"Placenta_GDM_Yes_Sample36";"GDM_R36";2;"#0072B2";"#D55E00";"GDM"
"35";38;"GSM1755064";"Placenta_GDM_Yes_Sample38";"GDM_R38";1;"#0072B2";"#D55E00";"GDM"
"36";39;"GSM1755065";"Placenta_GDM_No_Sample39";"Normal_R39";1;"#D55E00";"#D55E00";"Normal"
"37";40;"GSM1755066";"Placenta_GDM_Yes_Sample40";"GDM_R40";2;"#0072B2";"#D55E00";"GDM"
"38";41;"GSM1755067";"Placenta_GDM_No_Sample41";"Normal_R41";1;"#D55E00";"#D55E00";"Normal"
