Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
flavonoid glucuronidation (GO:0052696)	5/9	1.1044937688043489E-4	0.3939729273325112	0	0	18.257220921155348	166.34068664829317	UGT1A10;UGT1A9;UGT1A8;UGT1A7;UGT1A6
xenobiotic glucuronidation (GO:0052697)	5/11	3.631913142833848E-4	0.6477517090244168	0	0	12.170179547228727	96.39489077004019	UGT1A10;UGT1A9;UGT1A8;UGT1A7;UGT1A6
regulation of voltage-gated sodium channel activity (GO:1905150)	3/5	0.002403887125435262	0.9872025768171138	0	0	21.87685113016368	131.93203078177382	SLMAP;FGF13;FGF12
purine nucleotide metabolic process (GO:0006163)	6/24	0.003444596746460063	0.9872025768171138	0	0	4.86875	27.610430198244977	PRPS2;NT5C;PRPS1;GPX1;HPRT1;FHIT
diadenosine polyphosphate catabolic process (GO:0015961)	3/6	0.004577990270753041	0.9872025768171138	0	0	14.583787996882307	78.55550379031325	NUDT11;NUDT10;FHIT
cellular glucuronidation (GO:0052695)	5/19	0.005935505214345705	0.9872025768171138	0	0	5.2135608341697335	26.728900002908116	UGT1A10;UGT1A9;UGT1A8;UGT1A7;UGT1A6
negative regulation of endopeptidase activity (GO:0010951)	10/63	0.006588966540709279	0.9872025768171138	0	0	2.7593600283906072	13.858496024699052	SERPINA12;SERPINA3;SERPINA1;SERPINA10;SERPINA9;TIMP1;SERPINA7;SORL1;SERPINA4;SERPINA5
negative regulation of peptidase activity (GO:0010466)	10/63	0.006588966540709279	0.9872025768171138	0	0	2.7593600283906072	13.858496024699052	SERPINA12;SERPINA3;SERPINA1;SERPINA10;SERPINA9;TIMP1;CST7;SERPINA7;SERPINA4;SERPINA5
acylglycerol acyl-chain remodeling (GO:0036155)	3/7	0.007629885849453903	0.9872025768171138	0	0	10.937256430241622	53.32658862161635	AWAT2;PNPLA3;DGAT2L6
pituitary gland development (GO:0021983)	3/7	0.007629885849453903	0.9872025768171138	0	0	10.937256430241622	53.32658862161635	SOX3;NR0B1;GLI2
ribose phosphate biosynthetic process (GO:0046390)	3/7	0.007629885849453903	0.9872025768171138	0	0	10.937256430241622	53.32658862161635	PRPS2;PRPS1;G6PD
positive regulation of synapse assembly (GO:0051965)	6/28	0.007738471265591776	0.9872025768171138	0	0	3.9826704545454548	19.361956016030494	NLGN3;BHLHB9;SRPX2;SLITRK2;IL1RAPL1;EPHB1
