Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
glutamatergic synapse (GO:0098978)	11/69	0.0043350666548629575	0.7416344238619926	0	0	2.7750642325895876	15.099175253465324	NLGN3;ARHGAP22;GRIPAP1;CDKL5;NLGN4X;OPHN1;SLITRK2;IL1RAPL2;IL1RAPL1;ATP2B3;STX4
signal recognition particle, endoplasmic reticulum targeting (GO:0005786)	3/6	0.004577990270753041	0.7416344238619926	0	0	14.583787996882307	78.55550379031325	SRP72;SRP68;SRP9
inhibitory synapse (GO:0060077)	3/8	0.01162835927615369	0.753517681094759	0	0	8.74933749025721	38.972247470819994	NLGN3;NLGN4X;DTNB
integral component of synaptic membrane (GO:0099699)	3/8	0.01162835927615369	0.753517681094759	0	0	8.74933749025721	38.972247470819994	NLGN3;SLC1A2;ATP2B3
intrinsic component of the cytoplasmic side of the plasma membrane (GO:0031235)	3/8	0.01162835927615369	0.753517681094759	0	0	8.74933749025721	38.972247470819994	PRMT8;RASA3;NPHS2
excitatory synapse (GO:0060076)	5/25	0.019701049490358644	0.9397534192189908	0	0	3.64832162373146	14.327263180742925	NLGN3;SRPX2;NLGN4X;ATP2B3;FGFR2
GABA-ergic synapse (GO:0098982)	4/18	0.025204571159512343	0.9397534192189908	0	0	4.167595275239581	15.339792564412257	NLGN3;NLGN4X;SLITRK2;ATP2B3
platelet alpha granule lumen (GO:0031093)	9/67	0.027065691327479855	0.9397534192189908	0	0	2.266951097669646	8.182533590276664	SERPINA3;F8;SERPINA1;APOOL;TMSB4X;ALB;IGF2;MAGED2;TIMP1
platelet alpha granule (GO:0031091)	11/90	0.029275378034992482	0.9397534192189908	0	0	2.035095557210226	7.185939621980339	SERPINA3;F8;SERPINA1;APOOL;TMSB4X;ALB;IGF2;MAGED2;TIMP1;SYTL4;SERPINA5
intrinsic component of presynaptic membrane (GO:0098889)	2/5	0.03626016100675292	0.9397534192189908	0	0	9.714953271028037	32.22484617608352	SLC1A2;ATP2B3
ribose phosphate diphosphokinase complex (GO:0002189)	2/5	0.03626016100675292	0.9397534192189908	0	0	9.714953271028037	32.22484617608352	PRPS2;PRPS1
neuron projection cytoplasm (GO:0120111)	3/12	0.037674287015701115	0.9397534192189908	0	0	4.859703819173811	15.933887340930882	CDKL5;FMR1;SOD1
voltage-gated potassium channel complex (GO:0008076)	9/73	0.043826494517443595	0.9397534192189908	0	0	2.0537637039937353	6.423180378247478	DPP10;KCNJ5;KCND1;KCNC1;KCNIP1;KCND3;KCNMB1;KCNIP4;LRRC55
asymmetric, glutamatergic, excitatory synapse (GO:0098985)	2/6	0.0521012760491171	0.9397534192189908	0	0	7.285825545171339	21.526451258973715	NLGN3;NLGN4X
nuclear envelope lumen (GO:0005641)	2/6	0.0521012760491171	0.9397534192189908	0	0	7.285825545171339	21.526451258973715	ALOX5;SORL1
symmetric synapse (GO:0032280)	2/6	0.0521012760491171	0.9397534192189908	0	0	7.285825545171339	21.526451258973715	NLGN3;NLGN4X
glial cell projection (GO:0097386)	3/14	0.056668728266823995	0.9397534192189908	0	0	3.975696166654857	11.412366050760287	FMR1;SLC1A2;MAPT
lipid droplet (GO:0005811)	9/77	0.05820764556480596	0.9397534192189908	0	0	1.932539499746649	5.49563710532227	BCAP31;NSDHL;EDA;IRAK1;ALOX15;FAAH2;PNPLA3;PNPLA4;ACSL4
Cul4-RING E3 ubiquitin ligase complex (GO:0080008)	5/34	0.0643619317506988	0.9397534192189908	0	0	2.514872540310641	6.898881198861383	DCAF12L2;DCAF8L1;DCAF8;DCAF8L2;CUL4B
polymeric cytoskeletal fiber (GO:0099513)	23/256	0.06587132630890258	0.9397534192189908	0	0	1.4444217902058931	3.928902438922424	BEX4;KRT4;WAS;TBCD;KRT5;KRT76;ARHGAP6;MID1;NDRG1;MID2;SHROOM4;HDAC6;AMOT;POF1B;PLS3;KIF1B;MAPT;EFHC2;CCT7;FGF13;KRT6C;GAS7;TUBA8
proton-transporting V-type ATPase complex (GO:0033176)	3/15	0.06755921620490374	0.9397534192189908	0	0	3.6441932969602493	9.820192760709281	ATP6AP1;ATP6AP2;ATP6V0A2
integral component of presynaptic membrane (GO:0099056)	2/7	0.06988985790560774	0.9397534192189908	0	0	5.828348909657321	15.508273224242231	SLC1A2;ATP2B3
potassium channel complex (GO:0034705)	9/80	0.07077939284676824	0.9397534192189908	0	0	1.8505851081429847	4.900696132951932	DPP10;KCNJ5;KCND1;KCNC1;KCNIP1;KCND3;KCNMB1;KCNIP4;LRRC55
collagen-containing extracellular matrix (GO:0062023)	32/380	0.07194627423728354	0.9397534192189908	0	0	1.3467524610900292	3.5444311114210962	SERPINA3;SRPX;ITIH4;SPON1;SERPINA1;COL13A1;COL11A2;SEMA3B;CFP;THBS4;THSD4;SERPINA5;SRPX2;TNR;NDP;AMELX;COL27A1;FIBCD1;KRT1;BGN;CASK;L1CAM;F2;MMP8;SFRP1;F9;COL4A6;ANGPTL2;COL4A5;TGFBI;MXRA5;FGFR2
MICOS complex (GO:0061617)	2/8	0.0893103794876527	0.9397534192189908	0	0	4.8566978193146415	11.732021699966667	APOO;APOOL
endolysosome membrane (GO:0036020)	3/17	0.09189478050953498	0.9397534192189908	0	0	3.12326021601158	7.455568962920966	TLR8;TLR7;AP2B1
endoplasmic reticulum lumen (GO:0005788)	24/285	0.10699014429540825	0.9397534192189908	0	0	1.344554347232089	3.0051039185066846	SPON1;SERPINA1;COL27A1;COL13A1;SERPINA10;COL11A2;CFP;F2;CHRDL1;BMP15;DNAJC3;ACE2;F8;F9;P4HA1;ALB;ARSH;GPC3;COL4A6;COL4A5;ARSF;TIMP1;ARSD;AMELX
outer dynein arm (GO:0036157)	2/9	0.11007978543277297	0.9397534192189908	0	0	4.162661326212728	9.185119741575182	DNAI2;DNAH17
transferase complex, transferring phosphorus-containing groups (GO:0061695)	2/9	0.11007978543277297	0.9397534192189908	0	0	4.162661326212728	9.185119741575182	PRPS2;PRPS1
GABA-A receptor complex (GO:1902711)	3/19	0.11927468435727494	0.9397534192189908	0	0	2.732560405300078	5.810314711628425	GABRQ;GABRA3;GABRE
H4/H2A histone acetyltransferase complex (GO:0043189)	3/19	0.11927468435727494	0.9397534192189908	0	0	2.732560405300078	5.810314711628425	TRRAP;MORF4L2;MSL3
vacuolar proton-transporting V-type ATPase complex (GO:0016471)	3/19	0.11927468435727494	0.9397534192189908	0	0	2.732560405300078	5.810314711628425	ATP6AP2;ATP6V0A2;ATP6V1H
polysomal ribosome (GO:0042788)	4/30	0.1238040867605144	0.9397534192189908	0	0	2.2426497059882395	4.685018375862853	FMR1;RPL36A;NR0B1;RPL39
bicellular tight junction (GO:0005923)	8/78	0.12754481798448128	0.9397534192189908	0	0	1.6672479320366644	3.4333427633993723	CLDN6;RAP2C;POF1B;WNK3;SHROOM2;TBCD;CLDN2;AMOT
autolysosome (GO:0044754)	2/10	0.13194462595062934	0.9397534192189908	0	0	3.6421339563862927	7.376679576546398	MAP1LC3A;LAMP2
ISWI-type complex (GO:0031010)	2/10	0.13194462595062934	0.9397534192189908	0	0	3.6421339563862927	7.376679576546398	CECR2;SMARCA1
NuA4 histone acetyltransferase complex (GO:0035267)	3/20	0.13396080473835262	0.9397534192189908	0	0	2.571684012654165	5.16961983684064	TRRAP;MORF4L2;MSL3
ciliary membrane (GO:0060170)	4/31	0.13533816193389261	0.9397534192189908	0	0	2.15947304558849	4.318900157825973	ARL13A;CNGA2;CASK;PKD1
cornified envelope (GO:0001533)	5/43	0.1402461864540407	0.9397534192189908	0	0	1.918320391141789	3.768264028320491	SPRR2E;KRT1;IVL;SPRR1B;SPRR2D
platelet dense granule (GO:0042827)	3/21	0.14923087626713424	0.9397534192189908	0	0	2.4286827747466875	4.619987715343003	ITIH4;LAMP2;SERPINA4
chromosome (GO:0005694)	14/160	0.14933989592954516	0.9397534192189908	0	0	1.3997587662617386	2.6616838330572574	MDC1;ESCO1;FMR1;TEX11;CDYL;SMC1A;HDAC8;HOXA13;ZFX;STAG2;FIGNL1;RAD21;PIN4;TRIP13
dendrite cytoplasm (GO:0032839)	2/11	0.15467842458301168	0.9397534192189908	0	0	3.2372793354101765	6.042080803832634	CDKL5;SOD1
calcium channel complex (GO:0034704)	5/45	0.16085561705046134	0.9397534192189908	0	0	1.8222092115534738	3.329628328468623	TRPC5;FKBP1B;CACNA1C;CACNA1F;PKD1
