Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
methylated histone binding (GO:0035064)	13/68	3.4312331614265044E-4	0.13547816756819905	0	0	3.464500464186246	27.637777555775074	MORC4;SPIN4;FMR1;SPIN3;ZMYND8;ATRX;MSL3;CDYL;PHF8;SPIN2B;SPIN2A;TP53BP1;TAF1
WW domain binding (GO:0050699)	8/30	4.675464183458481E-4	0.13547816756819905	0	0	5.318537487551572	40.78260887058012	TCEAL8;TCEAL7;TCEAL6;TCEAL5;TCEAL4;TCEAL3;TCEAL2;TCEAL1
methylation-dependent protein binding (GO:0140034)	12/63	5.942024893342063E-4	0.13547816756819905	0	0	3.4468556653430604	25.604244868206898	MORC4;SPIN4;FMR1;SPIN3;ZMYND8;ATRX;MSL3;SPIN2B;SPIN2A;CDYL;TP53BP1;PHF8
retinoic acid binding (GO:0001972)	6/22	0.00213246099835219	0.3646508307182245	0	0	5.4779296875	33.69188913960886	UGT1A10;UGT1A9;UGT1A8;UGT1A7;SERPINA5;UGT1A6
monocarboxylic acid binding (GO:0033293)	7/31	0.0030005948987479195	0.41048138214871543	0	0	4.2621188428459735	24.758412707204307	UGT1A10;PYGL;UGT1A9;UGT1A8;UGT1A7;SERPINA5;UGT1A6
neurexin family protein binding (GO:0042043)	4/12	0.005547529017315917	0.6324183079740145	0	0	7.295631825273011	37.89644945055402	NLGN3;NLGN4X;SYTL5;SYTL4
signal recognition particle binding (GO:0005047)	3/7	0.007629885849453903	0.6523552401283087	0	0	10.937256430241622	53.32658862161635	SRP72;SRP68;SRP9
phosphatidylinositol-3,5-bisphosphate phosphatase activity (GO:0106018)	3/7	0.007629885849453903	0.6523552401283087	0	0	10.937256430241622	53.32658862161635	MTMR1;MTMR8;MTM1
transcription corepressor binding (GO:0001222)	6/29	0.009237268936859158	0.702032439201296	0	0	3.8093070652173915	17.844733255999063	PER2;PER3;USP11;NEK6;RORA;HDAC6
glucuronosyltransferase activity (GO:0015020)	6/31	0.01283584093219774	0.7294691214299704	0	0	3.5041875	15.262537533112681	CSGALNACT1;UGT1A10;UGT1A9;UGT1A8;UGT1A7;UGT1A6
peptidase inhibitor activity (GO:0030414)	7/40	0.012866397843529971	0.7294691214299704	0	0	3.0982301513966877	13.48701777960566	ITIH4;PCSK1N;GPC3;SPINT2;TIMP1;CST7;RENBP
serine-type endopeptidase inhibitor activity (GO:0004867)	9/60	0.01392031418016139	0.7294691214299704	0	0	2.5790685890644434	11.023986390563403	SERPINA12;SERPINA3;SERPINA1;SERPINA10;SERPINA9;SPINT2;SERPINA7;SERPINA4;SERPINA5
endopeptidase inhibitor activity (GO:0004866)	14/115	0.015685674157850393	0.7294691214299704	0	0	2.028317454386948	8.427674148562877	SERPINA12;SERPINA3;ITIH4;SERPINA1;SERPINA10;SPINT2;SERPINA9;CST7;SERPINA7;RENBP;SERPINA4;SERPINA5;PCSK1N;TIMP1
retinoid binding (GO:0005501)	6/34	0.019915123881550856	0.7294691214299704	0	0	3.128236607142857	12.251037452154224	UGT1A10;UGT1A9;UGT1A8;UGT1A7;SERPINA5;UGT1A6
sulfuric ester hydrolase activity (GO:0008484)	4/17	0.020628992781072955	0.7294691214299704	0	0	4.488419536781471	17.419815545678947	ARSH;IDS;ARSF;ARSD
co-SMAD binding (GO:0070410)	3/10	0.022620484249024738	0.7294691214299704	0	0	6.248858701703597	23.676296988821747	CITED1;USP9X;USP9Y
secondary active transmembrane transporter activity (GO:0015291)	8/56	0.02596371278537875	0.7294691214299704	0	0	2.4342723004694835	8.887662973914193	SLC25A16;SLC22A6;CLCN4;SLCO3A1;SLCO2A1;SLC16A2;SLC28A1;SLC25A14
ADP binding (GO:0043531)	5/27	0.02693339733530052	0.7294691214299704	0	0	3.316301185153644	11.986399956876847	ERN1;GLUD2;MYO3A;PGK1;ABCD1
diacylglycerol kinase activity (GO:0004143)	3/11	0.02964258707988597	0.7294691214299704	0	0	5.467459080280593	19.237490962547614	DGKE;DGKK;DGKI
phospholipase activator activity (GO:0016004)	3/11	0.02964258707988597	0.7294691214299704	0	0	5.467459080280593	19.237490962547614	BTK;STX4;ARHGAP6
ribose phosphate diphosphokinase activity (GO:0004749)	2/5	0.03626016100675292	0.7294691214299704	0	0	9.714953271028037	32.22484617608352	PRPS2;PRPS1
