Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ascorbate and aldarate metabolism	7/30	0.002457391899275802	0.6234105629480158	0	0	4.4476663153958595	26.724491087786085	UGT1A10;UGDH;RGN;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Porphyrin and chlorophyll metabolism	8/43	0.00551269435962238	0.6234105629480158	0	0	3.340755644980997	17.374273832235147	UGT1A10;ALAS2;HEPH;HCCS;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Calcium signaling pathway	26/240	0.006426913020082637	0.6234105629480158	0	0	1.783859961430055	9.00360671681955	CHRM2;PDE1B;PDE1A;CXCR4;HTR2C;CACNA1C;GRPR;CACNA1F;CACNA1E;FGF6;GRIN2A;CYSLTR1;GNA11;PLCE1;NOS1;FGF21;AVPR1B;NTRK3;ATP2B3;PHKA1;PHKA2;FGF16;GDNF;SLC25A5;FGFR2;CAMK1G
Pentose phosphate pathway	6/30	0.010932241841687724	0.7953205939827819	0	0	3.650390625	16.485306021798532	PRPS2;PRPS1;TKTL1;G6PD;RGN;TALDO1
Pentose and glucuronate interconversions	6/34	0.019915123881550856	0.999995307161557	0	0	3.128236607142857	12.251037452154224	UGT1A10;UGDH;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Retinol metabolism	8/68	0.06943611010463197	0.999995307161557	0	0	1.9461658841940532	5.191102123139259	UGT1A10;AWAT2;CYP1A2;PNPLA4;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Glycerolipid metabolism	7/61	0.09544252690834143	0.999995307161557	0	0	1.8912344713752063	4.442946695960124	DGKE;GK;PNPLA3;MBOAT2;DGKK;GLA;DGKI
Arginine and proline metabolism	6/50	0.09996148796414385	0.999995307161557	0	0	1.9889914772727273	4.580588274310482	MAOB;P4HA1;MAOA;SMS;NOS1;SAT1
Nicotine addiction	5/40	0.11171114742811725	0.999995307161557	0	0	2.083082413293186	4.565780815313681	GABRQ;GRIN2A;GABRA3;GABRE;GRIA3
Ferroptosis	5/41	0.1208876761471392	0.999995307161557	0	0	2.025110590684361	4.27884292450217	MAP1LC3A;ALOX15;ACSL4;SAT1;ATG5
Arginine biosynthesis	3/22	0.16502449912860417	0.999995307161557	0	0	2.3007342987242074	4.145144031654267	GLUD2;NOS1;OTC
Complement and coagulation cascades	8/85	0.1794937813963926	0.999995307161557	0	0	1.5151108672235434	2.602376721437664	F8;SERPINA1;F9;VSIG4;MASP1;F2;C8A;SERPINA5
Protein export	3/23	0.1812817814486925	0.999995307161557	0	0	2.185580670303975	3.732321912727808	SRP72;SRP68;SRP9
Other types of O-glycan biosynthesis	5/47	0.18259783945330088	0.999995307161557	0	0	1.7352514776402364	2.9507415931070136	C1GALT1C1;GALNT2;OGT;GALNT9;GALNT8
Serotonergic synapse	10/113	0.19051297047516316	0.999995307161557	0	0	1.4160605046108896	2.347877879115632	KCNJ5;MAOB;MAOA;ALOX5;ALOX15;ARAF;GNB4;HTR2C;CACNA1C;CACNA1F
Cardiac muscle contraction	8/87	0.19582454398329144	0.999995307161557	0	0	1.4765951546126266	2.407641858876778	COX7B;SLC9A6;SLC9A7;ATP1B4;CACNA1C;CACNA1F;COX5B;COX7C
Steroid hormone biosynthesis	6/61	0.19694584813836372	0.999995307161557	0	0	1.5902556818181819	2.583889526804703	UGT1A10;CYP1A2;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Mucin type O-glycan biosynthesis	4/36	0.19871030706889697	0.999995307161557	0	0	1.8215678627145087	2.9434847307623464	C1GALT1C1;GALNT2;GALNT9;GALNT8
GABAergic synapse	8/89	0.21273875860336652	0.999995307161557	0	0	1.4399814525010144	2.22864540030526	GABRQ;GABRA3;GNB4;SLC6A12;CACNA1C;CACNA1F;GABRE;SLC38A5
Bile secretion	8/90	0.2213997436822501	0.999995307161557	0	0	1.4223443642887132	2.144590089604094	ABCC3;SCARB1;UGT1A10;ATP1B4;UGT1A9;UGT1A8;UGT1A7;UGT1A6
NF-kappa B signaling pathway	9/104	0.22515649847581426	0.999995307161557	0	0	1.3812883814862136	2.0594451310004027	CCL13;EDA;CD40LG;IRAK1;BTK;XIAP;ERC1;IKBKG;EDA2R
Primary immunodeficiency	4/38	0.22620373609644848	0.999995307161557	0	0	1.7142332752133616	2.5478978279193036	CD40LG;BTK;IKBKG;IL2RG
GnRH secretion	6/64	0.22801219845115364	0.999995307161557	0	0	1.5077586206896552	2.2290042288282335	KCNJ5;TRPC5;GNA11;ARRB2;CACNA1C;CACNA1F
Morphine addiction	8/91	0.23018834858637988	0.999995307161557	0	0	1.4051322661538173	2.063938924706119	GABRQ;KCNJ5;PDE1B;PDE1A;GABRA3;GNB4;ARRB2;GABRE
Cortisol synthesis and secretion	6/65	0.2387010724533041	0.999995307161557	0	0	1.482123940677966	2.123206650965634	MRAP;SCARB1;GNA11;NR0B1;CACNA1C;CACNA1F
Glycine, serine and threonine metabolism	4/40	0.25458454587178	0.999995307161557	0	0	1.6188247529901196	2.214750235196265	ALAS2;MAOB;MAOA;PGAM4
