chr;pos;strand;Name;Islands_Name;Relation_to_Island;UCSC_RefGene_Name;UCSC_RefGene_Accession;UCSC_RefGene_Group;Phantom;DMR;Enhancer;HMM_Island;Regulatory_Feature_Name;Regulatory_Feature_Group;DHS;logFC;AveExpr;t;P.Value;adj.P.Val;B
chrY;19691491;+;cg25012987;chrY:19691214-19691762;Island;"LOC401629;LOC401630";"NR_002160;NR_002161";"TSS200;TSS200";;;;Y:18200609-18201614;;;;0.734377901960784;0.556668684210526;69.4426048526545;3.25801067036086e-41;1.4266959045937e-35;77.7579585276869
chrX;39546488;+;cg01673753;chrX:39547824-39548681;N_Shore;;;;;;TRUE;;;;;-0.323862088795518;0.730985123684211;-53.6408875643341;4.73371493458104e-37;1.03645635235639e-31;70.9265517145689
chrX;70389504;-;cg06232846;chrX:70389535-70389800;N_Shore;"NLGN3;NLGN3;NLGN3";"NM_181303;NM_001166660;NM_018977";"Body;Body;Body";;;;X:70306229-70306525;;;;-0.328500591596638;0.713134205263158;-52.5649478721422;1.00199468348822e-36;1.46259159959408e-31;70.349025016208
chrX;128872153;-;cg21956484;;OpenSea;XPNPEP2;NM_003399;TSS1500;;;;;;;TRUE;-0.364866330252101;0.690723102631579;-51.8107446599574;1.71017370370318e-36;1.87222976386609e-31;69.9338032393131
chrX;48658022;-;cg00271516;chrX:48659712-48660629;N_Shore;;;;;;;;;;;-0.306457462870468;0.732343580132418;-50.4389035673764;4.6121979475624e-36;4.03939986005873e-31;69.1557082597213
chrX;108865686;-;cg21644660;chrX:108867762-108868486;N_Shelf;;;;;;;;;;;-0.301424472268908;0.667806747368421;-47.2317504456964;5.21595614748934e-35;3.80681343468362e-30;67.2136625109642
chrX;39941630;-;cg02693068;chrX:39942756-39943419;N_Shore;"BCOR;BCOR;BCOR;BCOR";"NM_001123384;NM_017745;NM_001123385;NM_001123383";"5'UTR;5'UTR;5'UTR;5'UTR";;;;;;;;-0.347629405602241;0.685873242105263;-45.711893194075;1.74173749005332e-34;1.03952714159802e-29;66.2282789042216
chrX;69257154;-;cg06780606;;OpenSea;"EDA;EDA";"NM_001399;NM_001005609";"3'UTR;3'UTR";;;;;;;;-0.32979305210084;0.651323968421053;-45.6047013355963;1.89909595088973e-34;1.03952714159802e-29;66.1571006636734
chrX;18907441;-;cg16799982;;OpenSea;LOC100132163;NR_029379;TSS1500;;;;;;;;-0.300319703921569;0.730363718421053;-45.1946606103732;2.64869615942937e-34;1.28874960333195e-29;65.8827216769325
chrX;68285895;+;cg17726418;;OpenSea;;;;low-CpG:68202620-68202621;;;;;;;-0.291298644537815;0.731072428947368;-45.0290970362;3.03200740673902e-34;1.32772817144064e-29;65.7709818883733
